,Cell,Drug,label
70,ACH-001716,5311510,-1
71,ACH-001716,5311497,-1
72,ACH-001716,5311,-1
73,ACH-001716,5291,-1
74,ACH-001716,5289247,-1
75,ACH-001716,5280757,-1
76,ACH-001716,5278396,-1
77,ACH-001716,521106,-1
78,ACH-001716,5208,-1
79,ACH-001716,51371303,-1
80,ACH-001716,5113032,-1
81,ACH-001716,4993,-1
82,ACH-001716,49836027,-1
83,ACH-001716,49821040,-1
84,ACH-001716,49806720,-1
85,ACH-001716,46943432,1
86,ACH-001716,46931012,-1
87,ACH-001716,46930998,-1
88,ACH-001716,46907787,-1
89,ACH-001716,46885626,-1
90,ACH-001716,46883536,1
91,ACH-001716,46844147,-1
92,ACH-001716,462382,-1
93,ACH-001716,46224516,-1
94,ACH-001716,46191454,-1
95,ACH-001716,44819241,1
96,ACH-001716,448013,-1
97,ACH-001716,447912,-1
98,ACH-001716,446378,-1
99,ACH-001716,44632017,1
100,ACH-001716,44551660,-1
101,ACH-001716,444795,-1
102,ACH-001716,44462760,-1
103,ACH-001716,44450571,-1
104,ACH-001716,44224160,-1
105,ACH-001716,44182295,-1
106,ACH-001716,44143370,-1
107,ACH-001716,44137675,-1
108,ACH-001716,42642645,-1
109,ACH-001716,42640,-1
110,ACH-001716,4263900,-1
111,ACH-001716,4261,-1
112,ACH-001716,387447,-1
113,ACH-001716,3796,-1
114,ACH-001716,36462,-1
115,ACH-001716,36314,-1
116,ACH-001716,3463933,-1
117,ACH-001716,3385,1
118,ACH-001716,3218,-1
119,ACH-001716,31703,-1
120,ACH-001716,3062316,-1
121,ACH-001716,3005532,-1
122,ACH-001716,300471,-1
123,ACH-001716,2733526,-1
124,ACH-001716,2726824,-1
125,ACH-001716,25262965,-1
126,ACH-001716,25257557,1
127,ACH-001716,25222038,-1
128,ACH-001716,25195352,-1
129,ACH-001716,25167777,-1
130,ACH-001716,25126798,-1
131,ACH-001716,25124816,-1
132,ACH-001716,25102847,-1
133,ACH-001716,25022668,-1
134,ACH-001716,24978538,-1
135,ACH-001716,24951314,-1
136,ACH-001716,24894414,-1
137,ACH-001716,24889392,-1
138,ACH-001716,24826799,-1
139,ACH-001716,24825971,-1
140,ACH-001716,24785538,-1
141,ACH-001716,24776445,-1
142,ACH-001716,24772860,-1
143,ACH-001716,24756910,-1
144,ACH-001716,24180719,-1
145,ACH-001716,2375,-1
146,ACH-001716,23725625,1
147,ACH-001716,2314623,-1
148,ACH-001716,216326,-1
149,ACH-001716,216239,-1
150,ACH-001716,208908,-1
151,ACH-001716,20635522,-1
152,ACH-001716,17755052,-1
153,ACH-001716,176870,-1
154,ACH-001716,176167,-1
155,ACH-001716,176158,-1
156,ACH-001716,16760646,-1
157,ACH-001716,16747388,-1
158,ACH-001716,16725726,-1
159,ACH-001716,16722836,-1
160,ACH-001716,16720766,-1
161,ACH-001716,16663089,-1
162,ACH-001716,16095342,-1
163,ACH-001716,16038120,-1
164,ACH-001716,160355,-1
165,ACH-001716,159324,-1
166,ACH-001716,156422,1
167,ACH-001716,148124,-1
168,ACH-001716,1401,1
169,ACH-001716,126941,-1
170,ACH-001716,126565,-1
171,ACH-001716,123631,-1
172,ACH-001716,11977753,-1
173,ACH-001716,11960529,-1
174,ACH-001716,11844351,-1
175,ACH-001716,11754511,-1
176,ACH-001716,11713159,-1
177,ACH-001716,11707110,-1
178,ACH-001716,11676786,-1
179,ACH-001716,11667893,1
180,ACH-001716,11647372,-1
181,ACH-001716,11640390,-1
182,ACH-001716,11634725,-1
183,ACH-001716,11626927,-1
184,ACH-001716,11626560,-1
185,ACH-001716,11625818,-1
186,ACH-001716,11624601,1
187,ACH-001716,11617559,-1
188,ACH-001716,11609586,-1
189,ACH-001716,11493598,-1
190,ACH-001716,11485656,-1
191,ACH-001716,11455910,-1
192,ACH-001716,11433190,1
193,ACH-001716,11404337,-1
194,ACH-001716,11373846,-1
195,ACH-001716,11364421,-1
196,ACH-001716,11338033,-1
197,ACH-001716,11327430,-1
198,ACH-001716,11316960,-1
199,ACH-001716,11282283,1
200,ACH-001716,11178236,-1
201,ACH-001716,11152667,1
202,ACH-001716,104842,1
203,ACH-001716,10461815,-1
204,ACH-001716,10459196,-1
205,ACH-001716,10451420,-1
206,ACH-001716,10390396,-1
207,ACH-001716,10341154,-1
208,ACH-001716,10302451,-1
209,ACH-001716,10200390,-1
210,ACH-001716,10196499,-1
211,ACH-001716,10184653,-1
212,ACH-001716,10172943,-1
213,ACH-001716,10127622,-1
214,ACH-001716,10113978,-1
215,ACH-001716,10109823,-1
216,ACH-001716,10096043,-1
217,ACH-001716,10077147,-1
218,ACH-001716,10074640,-1
219,ACH-001716,10027278,-1
220,ACH-001715,9967941,-1
221,ACH-001715,9956222,-1
222,ACH-001715,9956119,1
223,ACH-001715,9952773,-1
224,ACH-001715,9943465,-1
225,ACH-001715,9938202,-1
226,ACH-001715,9931953,-1
227,ACH-001715,9914412,-1
228,ACH-001715,9911830,-1
229,ACH-001715,9910224,-1
230,ACH-001715,9903786,-1
231,ACH-001715,9884685,-1
232,ACH-001715,9874913,-1
233,ACH-001715,9868037,-1
234,ACH-001715,9863776,-1
235,ACH-001715,9858940,-1
236,ACH-001715,9826528,-1
237,ACH-001715,9813758,-1
238,ACH-001715,9810884,-1
239,ACH-001715,85668777,-1
240,ACH-001715,84691,-1
241,ACH-001715,8249,-1
242,ACH-001715,82146,-1
243,ACH-001715,71271629,-1
244,ACH-001715,704473,-1
245,ACH-001715,6918848,-1
246,ACH-001715,6918638,-1
247,ACH-001715,6918454,-1
248,ACH-001715,6918289,1
249,ACH-001715,6914657,-1
250,ACH-001715,6852167,-1
251,ACH-001715,6753378,-1
252,ACH-001715,6710780,-1
253,ACH-001715,66577006,-1
254,ACH-001715,65110,-1
255,ACH-001715,6505803,-1
256,ACH-001715,6450816,-1
257,ACH-001715,6450551,-1
258,ACH-001715,6445562,-1
259,ACH-001715,6445533,-1
260,ACH-001715,644241,-1
261,ACH-001715,637858,-1
262,ACH-001715,6253,-1
263,ACH-001715,60750,-1
264,ACH-001715,5746,-1
265,ACH-001715,57339144,-1
266,ACH-001715,56965967,-1
267,ACH-001715,56962337,-1
268,ACH-001715,560326,-1
269,ACH-001715,54685215,-1
270,ACH-001715,54676905,-1
271,ACH-001715,5460769,-1
272,ACH-001715,5459322,-1
273,ACH-001715,5394,-1
274,ACH-001715,53394750,-1
275,ACH-001715,53340664,-1
276,ACH-001715,5330286,-1
277,ACH-001715,53302361,-1
278,ACH-001715,5328940,-1
279,ACH-001715,5327091,-1
280,ACH-001715,5311497,-1
281,ACH-001715,5311,-1
282,ACH-001715,5289247,-1
283,ACH-001715,5280757,-1
284,ACH-001715,5278396,-1
285,ACH-001715,521106,-1
286,ACH-001715,5208,-1
287,ACH-001715,51371303,-1
288,ACH-001715,5113032,-1
289,ACH-001715,49806720,-1
290,ACH-001715,46943432,-1
291,ACH-001715,46931012,-1
292,ACH-001715,46930998,-1
293,ACH-001715,46907787,-1
294,ACH-001715,46885626,-1
295,ACH-001715,46883536,-1
296,ACH-001715,46224516,-1
297,ACH-001715,46191454,-1
298,ACH-001715,44819241,-1
299,ACH-001715,448013,-1
300,ACH-001715,447912,-1
301,ACH-001715,446378,-1
302,ACH-001715,44632017,-1
303,ACH-001715,44551660,-1
304,ACH-001715,444795,-1
305,ACH-001715,44462760,-1
306,ACH-001715,44450571,-1
307,ACH-001715,44224160,-1
308,ACH-001715,44182295,-1
309,ACH-001715,44143370,-1
310,ACH-001715,44137675,-1
311,ACH-001715,42642645,-1
312,ACH-001715,42640,-1
313,ACH-001715,4263900,-1
314,ACH-001715,3796,-1
315,ACH-001715,36462,-1
316,ACH-001715,3463933,-1
317,ACH-001715,3385,-1
318,ACH-001715,3218,-1
319,ACH-001715,31703,-1
320,ACH-001715,3005532,-1
321,ACH-001715,300471,-1
322,ACH-001715,2733526,-1
323,ACH-001715,2726824,-1
324,ACH-001715,25262965,-1
325,ACH-001715,25257557,-1
326,ACH-001715,25222038,-1
327,ACH-001715,25195352,-1
328,ACH-001715,25167777,-1
329,ACH-001715,25126798,-1
330,ACH-001715,25124816,-1
331,ACH-001715,25102847,-1
332,ACH-001715,25022668,-1
333,ACH-001715,24978538,-1
334,ACH-001715,24951314,-1
335,ACH-001715,24894414,-1
336,ACH-001715,24889392,-1
337,ACH-001715,24826799,-1
338,ACH-001715,24785538,-1
339,ACH-001715,24776445,-1
340,ACH-001715,24772860,-1
341,ACH-001715,24756910,-1
342,ACH-001715,24180719,1
343,ACH-001715,2375,-1
344,ACH-001715,23725625,-1
345,ACH-001715,2314623,-1
346,ACH-001715,216326,-1
347,ACH-001715,17755052,-1
348,ACH-001715,176167,-1
349,ACH-001715,176158,-1
350,ACH-001715,16747388,-1
351,ACH-001715,16725726,-1
352,ACH-001715,16722836,-1
353,ACH-001715,16720766,-1
354,ACH-001715,16095342,-1
355,ACH-001715,159324,-1
356,ACH-001715,156422,-1
357,ACH-001715,148124,1
358,ACH-001715,1401,1
359,ACH-001715,126941,-1
360,ACH-001715,126565,-1
361,ACH-001715,123631,-1
362,ACH-001715,11977753,-1
363,ACH-001715,11960529,-1
364,ACH-001715,11754511,-1
365,ACH-001715,11713159,-1
366,ACH-001715,11707110,-1
367,ACH-001715,11667893,-1
368,ACH-001715,11647372,-1
369,ACH-001715,11640390,-1
370,ACH-001715,11634725,-1
371,ACH-001715,11625818,-1
372,ACH-001715,11624601,-1
373,ACH-001715,11617559,-1
374,ACH-001715,11609586,-1
375,ACH-001715,11493598,-1
376,ACH-001715,11485656,-1
377,ACH-001715,11455910,-1
378,ACH-001715,11433190,-1
379,ACH-001715,11404337,-1
380,ACH-001715,11373846,-1
381,ACH-001715,11338033,-1
382,ACH-001715,11327430,-1
383,ACH-001715,11316960,-1
384,ACH-001715,11282283,1
385,ACH-001715,11178236,-1
386,ACH-001715,11152667,-1
387,ACH-001715,104842,-1
388,ACH-001715,10459196,1
389,ACH-001715,10451420,-1
390,ACH-001715,10390396,-1
391,ACH-001715,10384072,1
392,ACH-001715,10341154,-1
393,ACH-001715,10200390,-1
394,ACH-001715,10196499,-1
395,ACH-001715,10184653,-1
396,ACH-001715,10127622,-1
397,ACH-001715,10113978,-1
398,ACH-001715,10109823,-1
399,ACH-001715,10096043,-1
400,ACH-001715,10077147,-1
401,ACH-001715,10074640,-1
402,ACH-001715,10027278,-1
403,ACH-001711,9967941,-1
404,ACH-001711,9956222,-1
405,ACH-001711,9956119,-1
406,ACH-001711,9952773,-1
407,ACH-001711,9943465,1
408,ACH-001711,9938202,-1
409,ACH-001711,9914412,-1
410,ACH-001711,9911830,-1
411,ACH-001711,9910224,-1
412,ACH-001711,9903786,-1
413,ACH-001711,9884685,-1
414,ACH-001711,9874913,-1
415,ACH-001711,9868037,-1
416,ACH-001711,9858940,1
417,ACH-001711,9826528,-1
418,ACH-001711,9813758,-1
419,ACH-001711,9810884,1
420,ACH-001711,84691,-1
421,ACH-001711,8249,-1
422,ACH-001711,82146,-1
423,ACH-001711,71271629,-1
424,ACH-001711,704473,-1
425,ACH-001711,6918848,-1
426,ACH-001711,6918638,-1
427,ACH-001711,6918454,-1
428,ACH-001711,6918289,1
429,ACH-001711,6852167,-1
430,ACH-001711,6753378,-1
431,ACH-001711,6710780,-1
432,ACH-001711,66577006,-1
433,ACH-001711,65110,-1
434,ACH-001711,6505803,-1
435,ACH-001711,6450816,-1
436,ACH-001711,6450551,-1
437,ACH-001711,6445562,-1
438,ACH-001711,6445533,-1
439,ACH-001711,644241,-1
440,ACH-001711,637858,-1
441,ACH-001711,6253,-1
442,ACH-001711,60750,-1
443,ACH-001711,5746,-1
444,ACH-001711,56965967,-1
445,ACH-001711,560326,-1
446,ACH-001711,54685215,-1
447,ACH-001711,54676905,-1
448,ACH-001711,5460769,-1
449,ACH-001711,5459322,-1
450,ACH-001711,53394750,-1
451,ACH-001711,53340664,-1
452,ACH-001711,5330286,-1
453,ACH-001711,53302361,-1
454,ACH-001711,5328940,-1
455,ACH-001711,5311497,-1
456,ACH-001711,5311,-1
457,ACH-001711,5289247,-1
458,ACH-001711,5280757,-1
459,ACH-001711,5278396,-1
460,ACH-001711,521106,-1
461,ACH-001711,5208,-1
462,ACH-001711,5113032,1
463,ACH-001711,49806720,-1
464,ACH-001711,46943432,-1
465,ACH-001711,46931012,-1
466,ACH-001711,46930998,-1
467,ACH-001711,46907787,-1
468,ACH-001711,46885626,-1
469,ACH-001711,46883536,1
470,ACH-001711,46843772,1
471,ACH-001711,46224516,-1
472,ACH-001711,46191454,-1
473,ACH-001711,44819241,-1
474,ACH-001711,448013,-1
475,ACH-001711,447912,-1
476,ACH-001711,446378,-1
477,ACH-001711,44551660,-1
478,ACH-001711,444795,-1
479,ACH-001711,44450571,1
480,ACH-001711,44224160,-1
481,ACH-001711,44182295,-1
482,ACH-001711,44143370,-1
483,ACH-001711,44137675,-1
484,ACH-001711,42642645,-1
485,ACH-001711,42640,-1
486,ACH-001711,4263900,-1
487,ACH-001711,3796,-1
488,ACH-001711,36462,-1
489,ACH-001711,3463933,-1
490,ACH-001711,3385,-1
491,ACH-001711,3218,-1
492,ACH-001711,31703,-1
493,ACH-001711,3005532,-1
494,ACH-001711,300471,1
495,ACH-001711,2733526,-1
496,ACH-001711,2726824,-1
497,ACH-001711,25262965,-1
498,ACH-001711,25257557,-1
499,ACH-001711,25222038,-1
500,ACH-001711,25195352,-1
501,ACH-001711,25167777,-1
502,ACH-001711,25126798,-1
503,ACH-001711,25124816,-1
504,ACH-001711,25102847,-1
505,ACH-001711,25022668,-1
506,ACH-001711,24978538,1
507,ACH-001711,24951314,-1
508,ACH-001711,24894414,-1
509,ACH-001711,24889392,-1
510,ACH-001711,24826799,-1
511,ACH-001711,24785538,-1
512,ACH-001711,24776445,-1
513,ACH-001711,24772860,-1
514,ACH-001711,24756910,-1
515,ACH-001711,24180719,-1
516,ACH-001711,2375,-1
517,ACH-001711,23725625,1
518,ACH-001711,2314623,-1
519,ACH-001711,216326,-1
520,ACH-001711,17755052,-1
521,ACH-001711,176167,-1
522,ACH-001711,176158,1
523,ACH-001711,16747388,-1
524,ACH-001711,16725726,-1
525,ACH-001711,16722836,-1
526,ACH-001711,16095342,-1
527,ACH-001711,159324,-1
528,ACH-001711,156422,1
529,ACH-001711,148124,-1
530,ACH-001711,1401,-1
531,ACH-001711,126941,-1
532,ACH-001711,126565,-1
533,ACH-001711,123631,-1
534,ACH-001711,11977753,-1
535,ACH-001711,11960529,1
536,ACH-001711,11754511,-1
537,ACH-001711,11713159,-1
538,ACH-001711,11667893,1
539,ACH-001711,11647372,-1
540,ACH-001711,11640390,-1
541,ACH-001711,11634725,-1
542,ACH-001711,11625818,-1
543,ACH-001711,11624601,1
544,ACH-001711,11617559,-1
545,ACH-001711,11493598,-1
546,ACH-001711,11485656,-1
547,ACH-001711,11433190,-1
548,ACH-001711,11404337,-1
549,ACH-001711,11373846,-1
550,ACH-001711,11338033,-1
551,ACH-001711,11327430,-1
552,ACH-001711,11316960,-1
553,ACH-001711,11282283,-1
554,ACH-001711,11178236,-1
555,ACH-001711,11152667,-1
556,ACH-001711,104842,-1
557,ACH-001711,10459196,-1
558,ACH-001711,10451420,-1
559,ACH-001711,10390396,-1
560,ACH-001711,10384072,-1
561,ACH-001711,10341154,-1
562,ACH-001711,10200390,-1
563,ACH-001711,10196499,-1
564,ACH-001711,10184653,-1
565,ACH-001711,10127622,-1
566,ACH-001711,10113978,-1
567,ACH-001711,10109823,-1
568,ACH-001711,10096043,-1
569,ACH-001711,10077147,-1
570,ACH-001711,10074640,-1
571,ACH-001711,10027278,-1
572,ACH-001709,9967941,-1
573,ACH-001709,9956222,-1
574,ACH-001709,9956119,-1
575,ACH-001709,9952773,-1
576,ACH-001709,9943465,-1
577,ACH-001709,9938202,-1
578,ACH-001709,9931953,-1
579,ACH-001709,9914412,1
580,ACH-001709,9911830,-1
581,ACH-001709,9910224,-1
582,ACH-001709,9907093,-1
583,ACH-001709,9903786,1
584,ACH-001709,9884685,-1
585,ACH-001709,9874913,-1
586,ACH-001709,9868037,-1
587,ACH-001709,9863776,-1
588,ACH-001709,9858940,-1
589,ACH-001709,9826528,-1
590,ACH-001709,9826308,-1
591,ACH-001709,9813758,-1
592,ACH-001709,9810884,1
593,ACH-001709,9549184,-1
594,ACH-001709,85668777,-1
595,ACH-001709,84691,-1
596,ACH-001709,8249,-1
597,ACH-001709,82146,-1
598,ACH-001709,76044,-1
599,ACH-001709,7251185,-1
600,ACH-001709,71271629,-1
601,ACH-001709,704473,-1
602,ACH-001709,6918848,-1
603,ACH-001709,6918638,-1
604,ACH-001709,6918454,-1
605,ACH-001709,6918289,1
606,ACH-001709,6914657,-1
607,ACH-001709,6852167,1
608,ACH-001709,6753378,-1
609,ACH-001709,6710780,-1
610,ACH-001709,66577006,1
611,ACH-001709,65110,-1
612,ACH-001709,6505803,-1
613,ACH-001709,6450816,-1
614,ACH-001709,6450551,-1
615,ACH-001709,6445562,-1
616,ACH-001709,6445533,-1
617,ACH-001709,644241,1
618,ACH-001709,644215,-1
619,ACH-001709,637858,-1
620,ACH-001709,6253,1
621,ACH-001709,60750,-1
622,ACH-001709,5746,-1
623,ACH-001709,57339144,-1
624,ACH-001709,5717801,-1
625,ACH-001709,56965967,-1
626,ACH-001709,56962337,-1
627,ACH-001709,560326,-1
628,ACH-001709,5494449,-1
629,ACH-001709,54685215,-1
630,ACH-001709,54676905,-1
631,ACH-001709,5460769,-1
632,ACH-001709,5459322,-1
633,ACH-001709,5394,-1
634,ACH-001709,5384616,-1
635,ACH-001709,53394750,-1
636,ACH-001709,53340664,-1
637,ACH-001709,5330286,-1
638,ACH-001709,53302361,-1
639,ACH-001709,5329102,-1
640,ACH-001709,5328940,1
641,ACH-001709,5327091,-1
642,ACH-001709,5311510,-1
643,ACH-001709,5311497,-1
644,ACH-001709,5311,-1
645,ACH-001709,5291,-1
646,ACH-001709,5289247,-1
647,ACH-001709,5280757,-1
648,ACH-001709,5278396,1
649,ACH-001709,521106,-1
650,ACH-001709,5208,-1
651,ACH-001709,5113032,-1
652,ACH-001709,4993,-1
653,ACH-001709,49836027,-1
654,ACH-001709,49821040,-1
655,ACH-001709,49806720,-1
656,ACH-001709,46943432,-1
657,ACH-001709,46931012,-1
658,ACH-001709,46930998,1
659,ACH-001709,46907787,-1
660,ACH-001709,46885626,1
661,ACH-001709,46883536,1
662,ACH-001709,46844147,-1
663,ACH-001709,462382,-1
664,ACH-001709,46224516,-1
665,ACH-001709,46191454,-1
666,ACH-001709,44819241,-1
667,ACH-001709,448013,-1
668,ACH-001709,447912,-1
669,ACH-001709,446378,-1
670,ACH-001709,44632017,-1
671,ACH-001709,44551660,-1
672,ACH-001709,444795,-1
673,ACH-001709,44462760,1
674,ACH-001709,44450571,-1
675,ACH-001709,44224160,-1
676,ACH-001709,44182295,-1
677,ACH-001709,44143370,-1
678,ACH-001709,44137675,1
679,ACH-001709,42642645,1
680,ACH-001709,42640,-1
681,ACH-001709,4263900,-1
682,ACH-001709,4261,-1
683,ACH-001709,387447,-1
684,ACH-001709,3796,-1
685,ACH-001709,36462,-1
686,ACH-001709,36314,-1
687,ACH-001709,3463933,-1
688,ACH-001709,3385,-1
689,ACH-001709,3218,-1
690,ACH-001709,31703,-1
691,ACH-001709,3062316,-1
692,ACH-001709,3005532,-1
693,ACH-001709,300471,-1
694,ACH-001709,2733526,-1
695,ACH-001709,2726824,-1
696,ACH-001709,25262965,1
697,ACH-001709,25257557,1
698,ACH-001709,25222038,-1
699,ACH-001709,25195352,-1
700,ACH-001709,25167777,-1
701,ACH-001709,25126798,-1
702,ACH-001709,25124816,-1
703,ACH-001709,25102847,-1
704,ACH-001709,25022668,-1
705,ACH-001709,24978538,-1
706,ACH-001709,24951314,-1
707,ACH-001709,24894414,-1
708,ACH-001709,24889392,-1
709,ACH-001709,24826799,-1
710,ACH-001709,24825971,-1
711,ACH-001709,24785538,-1
712,ACH-001709,24776445,1
713,ACH-001709,24772860,-1
714,ACH-001709,24756910,-1
715,ACH-001709,24180719,-1
716,ACH-001709,2375,-1
717,ACH-001709,23725625,-1
718,ACH-001709,2314623,-1
719,ACH-001709,216326,1
720,ACH-001709,216239,-1
721,ACH-001709,208908,-1
722,ACH-001709,20635522,-1
723,ACH-001709,17755052,1
724,ACH-001709,176870,-1
725,ACH-001709,176167,-1
726,ACH-001709,176158,-1
727,ACH-001709,16760646,-1
728,ACH-001709,16747388,1
729,ACH-001709,16725726,-1
730,ACH-001709,16722836,-1
731,ACH-001709,16720766,-1
732,ACH-001709,16663089,-1
733,ACH-001709,16095342,-1
734,ACH-001709,16038120,-1
735,ACH-001709,160355,-1
736,ACH-001709,159324,-1
737,ACH-001709,156422,-1
738,ACH-001709,148124,-1
739,ACH-001709,1401,-1
740,ACH-001709,126941,1
741,ACH-001709,126565,1
742,ACH-001709,123631,-1
743,ACH-001709,11977753,-1
744,ACH-001709,11960529,-1
745,ACH-001709,11844351,-1
746,ACH-001709,11754511,-1
747,ACH-001709,11713159,-1
748,ACH-001709,11707110,-1
749,ACH-001709,11676786,-1
750,ACH-001709,11667893,-1
751,ACH-001709,11647372,-1
752,ACH-001709,11640390,-1
753,ACH-001709,11634725,1
754,ACH-001709,11626927,1
755,ACH-001709,11626560,-1
756,ACH-001709,11625818,-1
757,ACH-001709,11624601,-1
758,ACH-001709,11617559,-1
759,ACH-001709,11609586,-1
760,ACH-001709,11493598,-1
761,ACH-001709,11485656,-1
762,ACH-001709,11455910,-1
763,ACH-001709,11433190,-1
764,ACH-001709,11404337,-1
765,ACH-001709,11373846,-1
766,ACH-001709,11364421,-1
767,ACH-001709,11338033,-1
768,ACH-001709,11327430,1
769,ACH-001709,11316960,-1
770,ACH-001709,11282283,-1
771,ACH-001709,11178236,-1
772,ACH-001709,11152667,1
773,ACH-001709,104842,-1
774,ACH-001709,10461815,-1
775,ACH-001709,10459196,-1
776,ACH-001709,10451420,1
777,ACH-001709,10390396,-1
778,ACH-001709,10384072,-1
779,ACH-001709,10341154,1
780,ACH-001709,10302451,-1
781,ACH-001709,10200390,-1
782,ACH-001709,10196499,-1
783,ACH-001709,10184653,-1
784,ACH-001709,10172943,-1
785,ACH-001709,10127622,-1
786,ACH-001709,10113978,-1
787,ACH-001709,10109823,-1
788,ACH-001709,10096043,-1
789,ACH-001709,10077147,-1
790,ACH-001709,10074640,-1
791,ACH-001709,10027278,-1
792,ACH-001703,9967941,-1
793,ACH-001703,9956222,-1
794,ACH-001703,9956119,-1
795,ACH-001703,9952773,1
796,ACH-001703,9943465,1
797,ACH-001703,9938202,-1
798,ACH-001703,9931953,-1
799,ACH-001703,9914412,-1
800,ACH-001703,9911830,-1
801,ACH-001703,9910224,-1
802,ACH-001703,9907093,-1
803,ACH-001703,9903786,1
804,ACH-001703,9884685,-1
805,ACH-001703,9874913,-1
806,ACH-001703,9868037,-1
807,ACH-001703,9863776,-1
808,ACH-001703,9858940,-1
809,ACH-001703,9826528,-1
810,ACH-001703,9813758,-1
811,ACH-001703,9810884,1
812,ACH-001703,84691,-1
813,ACH-001703,8249,-1
814,ACH-001703,82146,-1
815,ACH-001703,7251185,1
816,ACH-001703,71271629,-1
817,ACH-001703,704473,1
818,ACH-001703,6918848,1
819,ACH-001703,6918638,1
820,ACH-001703,6918454,-1
821,ACH-001703,6918289,-1
822,ACH-001703,6914657,-1
823,ACH-001703,6852167,-1
824,ACH-001703,6753378,-1
825,ACH-001703,6710780,-1
826,ACH-001703,66577006,1
827,ACH-001703,65110,-1
828,ACH-001703,6505803,-1
829,ACH-001703,6450816,-1
830,ACH-001703,6450551,-1
831,ACH-001703,6445562,-1
832,ACH-001703,6445533,-1
833,ACH-001703,644241,-1
834,ACH-001703,637858,-1
835,ACH-001703,6253,1
836,ACH-001703,60750,-1
837,ACH-001703,5746,-1
838,ACH-001703,57339144,-1
839,ACH-001703,5717801,-1
840,ACH-001703,56965967,1
841,ACH-001703,56962337,-1
842,ACH-001703,560326,-1
843,ACH-001703,54685215,-1
844,ACH-001703,54676905,1
845,ACH-001703,5460769,-1
846,ACH-001703,5459322,-1
847,ACH-001703,5394,-1
848,ACH-001703,5384616,-1
849,ACH-001703,53394750,1
850,ACH-001703,53340664,1
851,ACH-001703,5330286,-1
852,ACH-001703,53302361,-1
853,ACH-001703,5328940,-1
854,ACH-001703,5327091,-1
855,ACH-001703,5311497,-1
856,ACH-001703,5311,-1
857,ACH-001703,5291,-1
858,ACH-001703,5289247,-1
859,ACH-001703,5280757,-1
860,ACH-001703,5278396,-1
861,ACH-001703,521106,-1
862,ACH-001703,5208,-1
863,ACH-001703,51371303,-1
864,ACH-001703,5113032,-1
865,ACH-001703,4993,-1
866,ACH-001703,49806720,-1
867,ACH-001703,46943432,1
868,ACH-001703,46931012,1
869,ACH-001703,46930998,-1
870,ACH-001703,46907787,-1
871,ACH-001703,46883536,1
872,ACH-001703,46844147,-1
873,ACH-001703,46843772,-1
874,ACH-001703,462382,-1
875,ACH-001703,46224516,-1
876,ACH-001703,46191454,-1
877,ACH-001703,44819241,-1
878,ACH-001703,448013,-1
879,ACH-001703,447912,1
880,ACH-001703,446378,-1
881,ACH-001703,44551660,1
882,ACH-001703,444795,-1
883,ACH-001703,44462760,-1
884,ACH-001703,44450571,-1
885,ACH-001703,44224160,-1
886,ACH-001703,44182295,-1
887,ACH-001703,44143370,1
888,ACH-001703,44137675,-1
889,ACH-001703,42642645,-1
890,ACH-001703,42640,-1
891,ACH-001703,4263900,-1
