Cell,Drug,label
ACH-001716,25262965,0
ACH-001716,25257557,1
ACH-001716,25222038,0
ACH-001716,25195352,0
ACH-001716,25167777,0
ACH-001716,25126798,0
ACH-001716,25124816,0
ACH-001716,25102847,0
ACH-001716,25022668,0
ACH-001716,24978538,0
ACH-001716,24951314,0
ACH-001716,24894414,0
ACH-001716,24889392,0
ACH-001716,24826799,0
ACH-001716,24825971,0
ACH-001716,24785538,0
ACH-001716,24776445,0
ACH-001716,24772860,0
ACH-001716,24756910,0
ACH-001716,24180719,0
ACH-001716,2375,0
ACH-001716,23725625,1
ACH-001716,2314623,0
ACH-001716,216326,0
ACH-001716,216239,0
ACH-001716,208908,0
ACH-001716,20635522,0
ACH-001716,17755052,0
ACH-001716,176870,0
ACH-001716,176167,0
ACH-001716,176158,0
ACH-001716,16760646,0
ACH-001716,16747388,0
ACH-001716,16725726,0
ACH-001716,16722836,0
ACH-001716,16720766,0
ACH-001716,16663089,0
ACH-001716,16095342,0
ACH-001716,16038120,0
ACH-001716,160355,0
ACH-001716,159324,0
ACH-001716,156422,1
ACH-001716,148124,0
ACH-001716,1401,1
ACH-001716,126941,0
ACH-001716,126565,0
ACH-001716,123631,0
ACH-001716,11977753,0
ACH-001716,11960529,0
ACH-001716,11844351,0
ACH-001716,11754511,0
ACH-001716,11713159,0
ACH-001716,11707110,0
ACH-001716,11676786,0
ACH-001716,11667893,1
ACH-001716,11647372,0
ACH-001716,11640390,0
ACH-001716,11634725,0
ACH-001716,11626927,0
ACH-001716,11626560,0
ACH-001716,11625818,0
ACH-001716,11624601,1
ACH-001716,11617559,0
ACH-001716,11609586,0
ACH-001716,11493598,0
ACH-001716,11485656,0
ACH-001716,11455910,0
ACH-001716,11433190,1
ACH-001716,11404337,0
ACH-001716,11373846,0
ACH-001716,11364421,0
ACH-001716,11338033,0
ACH-001716,11327430,0
ACH-001716,11316960,0
ACH-001716,11282283,1
ACH-001716,11178236,0
ACH-001716,11152667,1
ACH-001716,104842,1
ACH-001716,10461815,0
ACH-001716,10459196,0
ACH-001716,10451420,0
ACH-001716,10390396,0
ACH-001716,10341154,0
ACH-001716,10302451,0
ACH-001716,10200390,0
ACH-001716,10196499,0
ACH-001716,10184653,0
ACH-001716,10172943,0
ACH-001716,10127622,0
ACH-001716,10113978,0
ACH-001716,10109823,0
ACH-001716,10096043,0
ACH-001716,10077147,0
ACH-001716,10074640,0
ACH-001716,10027278,0
ACH-001715,9967941,0
ACH-001715,9956222,0
ACH-001715,9956119,1
ACH-001715,9952773,0
ACH-001715,9943465,0
ACH-001715,9938202,0
ACH-001715,9931953,0
ACH-001715,9914412,0
ACH-001715,9911830,0
ACH-001715,9910224,0
ACH-001715,9903786,0
ACH-001715,9884685,0
ACH-001715,9874913,0
ACH-001715,9868037,0
ACH-001715,9863776,0
ACH-001715,9858940,0
ACH-001715,9826528,0
ACH-001715,9813758,0
ACH-001715,9810884,0
ACH-001715,85668777,0
ACH-001715,84691,0
ACH-001715,8249,0
ACH-001715,82146,0
ACH-001715,71271629,0
ACH-001715,704473,0
ACH-001715,6918848,0
ACH-001715,6918638,0
ACH-001715,6918454,0
ACH-001715,6918289,1
ACH-001715,6914657,0
ACH-001715,6852167,0
ACH-001715,6753378,0
ACH-001715,6710780,0
ACH-001715,66577006,0
ACH-001715,65110,0
ACH-001715,6505803,0
ACH-001715,6450816,0
ACH-001715,6450551,0
ACH-001715,6445562,0
ACH-001715,6445533,0
ACH-001715,644241,0
ACH-001715,637858,0
ACH-001715,6253,0
ACH-001715,60750,0
ACH-001715,5746,0
ACH-001715,57339144,0
ACH-001715,56965967,0
ACH-001715,56962337,0
ACH-001715,560326,0
ACH-001715,54685215,0
ACH-001715,54676905,0
ACH-001715,5460769,0
ACH-001715,5459322,0
ACH-001715,5394,0
ACH-001715,53394750,0
ACH-001715,53340664,0
ACH-001715,5330286,0
ACH-001715,53302361,0
ACH-001715,5328940,0
ACH-001715,5327091,0
ACH-001715,5311497,0
ACH-001715,5311,0
ACH-001715,5289247,0
ACH-001715,5280757,0
ACH-001715,5278396,0
ACH-001715,521106,0
ACH-001715,5208,0
ACH-001715,51371303,0
ACH-001715,5113032,0
ACH-001715,49806720,0
ACH-001715,46943432,0
ACH-001715,46931012,0
ACH-001715,46930998,0
ACH-001715,46907787,0
ACH-001715,46885626,0
ACH-001715,46883536,0
ACH-001715,46224516,0
ACH-001715,46191454,0
ACH-001715,44819241,0
ACH-001715,448013,0
ACH-001715,447912,0
ACH-001715,446378,0
ACH-001715,44632017,0
ACH-001715,44551660,0
ACH-001715,444795,0
ACH-001715,44462760,0
ACH-001715,44450571,0
ACH-001715,44224160,0
ACH-001715,44182295,0
ACH-001715,44143370,0
ACH-001715,44137675,0
ACH-001715,42642645,0
ACH-001715,42640,0
ACH-001715,4263900,0
ACH-001715,3796,0
ACH-001715,36462,0
ACH-001715,3463933,0
ACH-001715,3385,0
ACH-001715,3218,0
ACH-001715,31703,0
ACH-001715,3005532,0
ACH-001715,300471,0
ACH-001715,2733526,0
ACH-001715,2726824,0
ACH-001715,25262965,0
ACH-001715,25257557,0
ACH-001715,25222038,0
ACH-001715,25195352,0
ACH-001715,25167777,0
ACH-001715,25126798,0
ACH-001715,25124816,0
ACH-001715,25102847,0
ACH-001715,25022668,0
ACH-001715,24978538,0
ACH-001715,24951314,0
ACH-001715,24894414,0
ACH-001715,24889392,0
ACH-001715,24826799,0
ACH-001715,24785538,0
ACH-001715,24776445,0
ACH-001715,24772860,0
ACH-001715,24756910,0
ACH-001715,24180719,1
ACH-001715,2375,0
ACH-001715,23725625,0
ACH-001715,2314623,0
ACH-001715,216326,0
ACH-001715,17755052,0
ACH-001715,176167,0
ACH-001715,176158,0
ACH-001715,16747388,0
ACH-001715,16725726,0
ACH-001715,16722836,0
ACH-001715,16720766,0
ACH-001715,16095342,0
ACH-001715,159324,0
ACH-001715,156422,0
ACH-001715,148124,1
ACH-001715,1401,1
ACH-001715,126941,0
ACH-001715,126565,0
ACH-001715,123631,0
ACH-001715,11977753,0
ACH-001715,11960529,0
ACH-001715,11754511,0
ACH-001715,11713159,0
ACH-001715,11707110,0
ACH-001715,11667893,0
ACH-001715,11647372,0
ACH-001715,11640390,0
ACH-001715,11634725,0
ACH-001715,11625818,0
ACH-001715,11624601,0
ACH-001715,11617559,0
ACH-001715,11609586,0
ACH-001715,11493598,0
ACH-001715,11485656,0
ACH-001715,11455910,0
ACH-001715,11433190,0
ACH-001715,11404337,0
ACH-001715,11373846,0
ACH-001715,11338033,0
ACH-001715,11327430,0
ACH-001715,11316960,0
ACH-001715,11282283,1
ACH-001715,11178236,0
ACH-001715,11152667,0
ACH-001715,104842,0
ACH-001715,10459196,1
ACH-001715,10451420,0
ACH-001715,10390396,0
ACH-001715,10384072,1
ACH-001715,10341154,0
ACH-001715,10200390,0
ACH-001715,10196499,0
ACH-001715,10184653,0
ACH-001715,10127622,0
ACH-001715,10113978,0
ACH-001715,10109823,0
ACH-001715,10096043,0
ACH-001715,10077147,0
ACH-001715,10074640,0
ACH-001715,10027278,0
ACH-001711,9967941,0
ACH-001711,9956222,0
ACH-001711,9956119,0
ACH-001711,9952773,0
ACH-001711,9943465,1
ACH-001711,9938202,0
ACH-001711,9914412,0
ACH-001711,9911830,0
ACH-001711,9910224,0
ACH-001711,9903786,0
ACH-001711,9884685,0
ACH-001711,9874913,0
ACH-001711,9868037,0
ACH-001711,9858940,1
ACH-001711,9826528,0
ACH-001711,9813758,0
ACH-001711,9810884,1
ACH-001711,84691,0
ACH-001711,8249,0
ACH-001711,82146,0
ACH-001711,71271629,0
ACH-001711,704473,0
ACH-001711,6918848,0
ACH-001711,6918638,0
ACH-001711,6918454,0
ACH-001711,6918289,1
ACH-001711,6852167,0
ACH-001711,6753378,0
ACH-001711,6710780,0
ACH-001711,66577006,0
ACH-001711,65110,0
ACH-001711,6505803,0
ACH-001711,6450816,0
ACH-001711,6450551,0
ACH-001711,6445562,0
ACH-001711,6445533,0
ACH-001711,644241,0
ACH-001711,637858,0
ACH-001711,6253,0
ACH-001711,60750,0
ACH-001711,5746,0
ACH-001711,56965967,0
ACH-001711,560326,0
ACH-001711,54685215,0
ACH-001711,54676905,0
ACH-001711,5460769,0
ACH-001711,5459322,0
ACH-001711,53394750,0
ACH-001711,53340664,0
ACH-001711,5330286,0
ACH-001711,53302361,0
ACH-001711,5328940,0
ACH-001711,5311497,0
ACH-001711,5311,0
ACH-001711,5289247,0
ACH-001711,5280757,0
ACH-001711,5278396,0
ACH-001711,521106,0
ACH-001711,5208,0
ACH-001711,5113032,1
ACH-001711,49806720,0
ACH-001711,46943432,0
ACH-001711,46931012,0
ACH-001711,46930998,0
ACH-001711,46907787,0
ACH-001711,46885626,0
ACH-001711,46883536,1
ACH-001711,46843772,1
ACH-001711,46224516,0
ACH-001711,46191454,0
ACH-001711,44819241,0
ACH-001711,448013,0
ACH-001711,447912,0
ACH-001711,446378,0
ACH-001711,44551660,0
ACH-001711,444795,0
ACH-001711,44450571,1
ACH-001711,44224160,0
ACH-001711,44182295,0
ACH-001711,44143370,0
ACH-001711,44137675,0
ACH-001711,42642645,0
ACH-001711,42640,0
ACH-001711,4263900,0
ACH-001711,3796,0
ACH-001711,36462,0
ACH-001711,3463933,0
ACH-001711,3385,0
ACH-001711,3218,0
ACH-001711,31703,0
ACH-001711,3005532,0
ACH-001711,300471,1
ACH-001711,2733526,0
ACH-001711,2726824,0
ACH-001711,25262965,0
ACH-001711,25257557,0
ACH-001711,25222038,0
ACH-001711,25195352,0
ACH-001711,25167777,0
ACH-001711,25126798,0
ACH-001711,25124816,0
ACH-001711,25102847,0
ACH-001711,25022668,0
ACH-001711,24978538,1
ACH-001711,24951314,0
ACH-001711,24894414,0
ACH-001711,24889392,0
ACH-001711,24826799,0
ACH-001711,24785538,0
ACH-001711,24776445,0
ACH-001711,24772860,0
ACH-001711,24756910,0
ACH-001711,24180719,0
ACH-001711,2375,0
ACH-001711,23725625,1
ACH-001711,2314623,0
ACH-001711,216326,0
ACH-001711,17755052,0
ACH-001711,176167,0
ACH-001711,176158,1
ACH-001711,16747388,0
ACH-001711,16725726,0
ACH-001711,16722836,0
ACH-001711,16095342,0
ACH-001711,159324,0
ACH-001711,156422,1
ACH-001711,148124,0
ACH-001711,1401,0
ACH-001711,126941,0
ACH-001711,126565,0
ACH-001711,123631,0
ACH-001711,11977753,0
ACH-001711,11960529,1
ACH-001711,11754511,0
ACH-001711,11713159,0
ACH-001711,11667893,1
ACH-001711,11647372,0
ACH-001711,11640390,0
ACH-001711,11634725,0
ACH-001711,11625818,0
ACH-001711,11624601,1
ACH-001711,11617559,0
ACH-001711,11493598,0
ACH-001711,11485656,0
ACH-001711,11433190,0
ACH-001711,11404337,0
ACH-001711,11373846,0
ACH-001711,11338033,0
ACH-001711,11327430,0
ACH-001711,11316960,0
ACH-001711,11282283,0
ACH-001711,11178236,0
ACH-001711,11152667,0
ACH-001711,104842,0
ACH-001711,10459196,0
ACH-001711,10451420,0
ACH-001711,10390396,0
ACH-001711,10384072,0
ACH-001711,10341154,0
ACH-001711,10200390,0
ACH-001711,10196499,0
ACH-001711,10184653,0
ACH-001711,10127622,0
ACH-001711,10113978,0
ACH-001711,10109823,0
ACH-001711,10096043,0
ACH-001711,10077147,0
ACH-001711,10074640,0
ACH-001711,10027278,0
ACH-001709,9967941,0
ACH-001709,9956222,0
ACH-001709,9956119,0
ACH-001709,9952773,0
ACH-001709,9943465,0
ACH-001709,9938202,0
ACH-001709,9931953,0
ACH-001709,9914412,1
ACH-001709,9911830,0
ACH-001709,9910224,0
ACH-001709,9907093,0
ACH-001709,9903786,1
ACH-001709,9884685,0
ACH-001709,9874913,0
ACH-001709,9868037,0
ACH-001709,9863776,0
ACH-001709,9858940,0
ACH-001709,9826528,0
ACH-001709,9826308,0
ACH-001709,9813758,0
ACH-001709,9810884,1
ACH-001709,9549184,0
ACH-001709,85668777,0
ACH-001709,84691,0
ACH-001709,8249,0
ACH-001709,82146,0
ACH-001709,76044,0
ACH-001709,7251185,0
ACH-001709,71271629,0
ACH-001709,704473,0
ACH-001709,6918848,0
ACH-001709,6918638,0
ACH-001709,6918454,0
ACH-001709,6918289,1
ACH-001709,6914657,0
ACH-001709,6852167,1
ACH-001709,6753378,0
ACH-001709,6710780,0
ACH-001709,66577006,1
ACH-001709,65110,0
ACH-001709,6505803,0
ACH-001709,6450816,0
ACH-001709,6450551,0
ACH-001709,6445562,0
ACH-001709,6445533,0
ACH-001709,644241,1
ACH-001709,644215,0
ACH-001709,637858,0
ACH-001709,6253,1
ACH-001709,60750,0
ACH-001709,5746,0
ACH-001709,57339144,0
ACH-001709,5717801,0
ACH-001709,56965967,0
ACH-001709,56962337,0
ACH-001709,560326,0
ACH-001709,5494449,0
ACH-001709,54685215,0
ACH-001709,54676905,0
ACH-001709,5460769,0
ACH-001709,5459322,0
ACH-001709,5394,0
ACH-001709,5384616,0
ACH-001709,53394750,0
ACH-001709,53340664,0
ACH-001709,5330286,0
ACH-001709,53302361,0
ACH-001709,5329102,0
ACH-001709,5328940,1
ACH-001709,5327091,0
ACH-001709,5311510,0
ACH-001709,5311497,0
ACH-001709,5311,0
ACH-001709,5291,0
ACH-001709,5289247,0
ACH-001709,5280757,0
ACH-001709,5278396,1
ACH-001709,521106,0
ACH-001709,5208,0
ACH-001709,5113032,0
ACH-001709,4993,0
ACH-001709,49836027,0
ACH-001709,49821040,0
ACH-001709,49806720,0
ACH-001709,46943432,0
ACH-001709,46931012,0
ACH-001709,46930998,1
ACH-001709,46907787,0
ACH-001709,46885626,1
ACH-001709,46883536,1
ACH-001709,46844147,0
ACH-001709,462382,0
ACH-001709,46224516,0
ACH-001709,46191454,0
ACH-001709,44819241,0
ACH-001709,448013,0
ACH-001709,447912,0
ACH-001709,446378,0
ACH-001709,44632017,0
ACH-001709,44551660,0
ACH-001709,444795,0
ACH-001709,44462760,1
ACH-001709,44450571,0
ACH-001709,44224160,0
ACH-001709,44182295,0
ACH-001709,44143370,0
ACH-001709,44137675,1
ACH-001709,42642645,1
ACH-001709,42640,0
ACH-001709,4263900,0
ACH-001709,4261,0
ACH-001709,387447,0
ACH-001709,3796,0
ACH-001709,36462,0
ACH-001709,36314,0
ACH-001709,3463933,0
ACH-001709,3385,0
ACH-001709,3218,0
ACH-001709,31703,0
ACH-001709,3062316,0
ACH-001709,3005532,0
ACH-001709,300471,0
ACH-001709,2733526,0
ACH-001709,2726824,0
ACH-001709,25262965,1
ACH-001709,25257557,1
ACH-001709,25222038,0
ACH-001709,25195352,0
ACH-001709,25167777,0
ACH-001709,25126798,0
ACH-001709,25124816,0
ACH-001709,25102847,0
ACH-001709,25022668,0
ACH-001709,24978538,0
ACH-001709,24951314,0
ACH-001709,24894414,0
ACH-001709,24889392,0
ACH-001709,24826799,0
ACH-001709,24825971,0
ACH-001709,24785538,0
ACH-001709,24776445,1
ACH-001709,24772860,0
ACH-001709,24756910,0
ACH-001709,24180719,0
ACH-001709,2375,0
ACH-001709,23725625,0
ACH-001709,2314623,0
ACH-001709,216326,1
ACH-001709,216239,0
ACH-001709,208908,0
ACH-001709,20635522,0
ACH-001709,17755052,1
ACH-001709,176870,0
ACH-001709,176167,0
ACH-001709,176158,0
ACH-001709,16760646,0
ACH-001709,16747388,1
ACH-001709,16725726,0
ACH-001709,16722836,0
ACH-001709,16720766,0
ACH-001709,16663089,0
ACH-001709,16095342,0
ACH-001709,16038120,0
ACH-001709,160355,0
ACH-001709,159324,0
ACH-001709,156422,0
ACH-001709,148124,0
ACH-001709,1401,0
ACH-001709,126941,1
ACH-001709,126565,1
ACH-001709,123631,0
ACH-001709,11977753,0
ACH-001709,11960529,0
ACH-001709,11844351,0
ACH-001709,11754511,0
ACH-001709,11713159,0
ACH-001709,11707110,0
ACH-001709,11676786,0
ACH-001709,11667893,0
ACH-001709,11647372,0
ACH-001709,11640390,0
ACH-001709,11634725,1
ACH-001709,11626927,1
ACH-001709,11626560,0
ACH-001709,11625818,0
ACH-001709,11624601,0
ACH-001709,11617559,0
ACH-001709,11609586,0
ACH-001709,11493598,0
ACH-001709,11485656,0
ACH-001709,11455910,0
ACH-001709,11433190,0
ACH-001709,11404337,0
ACH-001709,11373846,0
ACH-001709,11364421,0
ACH-001709,11338033,0
ACH-001709,11327430,1
ACH-001709,11316960,0
ACH-001709,11282283,0
ACH-001709,11178236,0
ACH-001709,11152667,1
ACH-001709,104842,0
ACH-001709,10461815,0
ACH-001709,10459196,0
ACH-001709,10451420,1
ACH-001709,10390396,0
ACH-001709,10384072,0
ACH-001709,10341154,1
ACH-001709,10302451,0
ACH-001709,10200390,0
ACH-001709,10196499,0
ACH-001709,10184653,0
ACH-001709,10172943,0
ACH-001709,10127622,0
ACH-001709,10113978,0
ACH-001709,10109823,0
ACH-001709,10096043,0
ACH-001709,10077147,0
ACH-001709,10074640,0
ACH-001709,10027278,0
ACH-001703,9967941,0
ACH-001703,9956222,0
ACH-001703,9956119,0
ACH-001703,9952773,1
ACH-001703,9943465,1
ACH-001703,9938202,0
ACH-001703,9931953,0
ACH-001703,9914412,0
ACH-001703,9911830,0
ACH-001703,9910224,0
ACH-001703,9907093,0
ACH-001703,9903786,1
ACH-001703,9884685,0
ACH-001703,9874913,0
ACH-001703,9868037,0
ACH-001703,9863776,0
ACH-001703,9858940,0
ACH-001703,9826528,0
ACH-001703,9813758,0
ACH-001703,9810884,1
ACH-001703,84691,0
ACH-001703,8249,0
ACH-001703,82146,0
ACH-001703,7251185,1
ACH-001703,71271629,0
ACH-001703,704473,1
ACH-001703,6918848,1
ACH-001703,6918638,1
ACH-001703,6918454,0
ACH-001703,6918289,0
ACH-001703,6914657,0
ACH-001703,6852167,0
ACH-001703,6753378,0
ACH-001703,6710780,0
ACH-001703,66577006,1
ACH-001703,65110,0
ACH-001703,6505803,0
ACH-001703,6450816,0
ACH-001703,6450551,0
ACH-001703,6445562,0
ACH-001703,6445533,0
ACH-001703,644241,0
ACH-001703,637858,0
ACH-001703,6253,1
ACH-001703,60750,0
ACH-001703,5746,0
ACH-001703,57339144,0
ACH-001703,5717801,0
ACH-001703,56965967,1
ACH-001703,56962337,0
ACH-001703,560326,0
ACH-001703,54685215,0
ACH-001703,54676905,1
ACH-001703,5460769,0
ACH-001703,5459322,0
ACH-001703,5394,0
ACH-001703,5384616,0
ACH-001703,53394750,1
ACH-001703,53340664,1
ACH-001703,5330286,0
ACH-001703,53302361,0
ACH-001703,5328940,0
ACH-001703,5327091,0
ACH-001703,5311497,0
ACH-001703,5311,0
ACH-001703,5291,0
ACH-001703,5289247,0
ACH-001703,5280757,0
ACH-001703,5278396,0
ACH-001703,521106,0
ACH-001703,5208,0
ACH-001703,51371303,0
ACH-001703,5113032,0
ACH-001703,4993,0
ACH-001703,49806720,0
ACH-001703,46943432,1
ACH-001703,46931012,1
ACH-001703,46930998,0
ACH-001703,46907787,0
ACH-001703,46883536,1
ACH-001703,46844147,0
ACH-001703,46843772,0
ACH-001703,462382,0
ACH-001703,46224516,0
ACH-001703,46191454,0
ACH-001703,44819241,0
ACH-001703,448013,0
ACH-001703,447912,1
ACH-001703,446378,0
ACH-001703,44551660,1
ACH-001703,444795,0
ACH-001703,44462760,0
ACH-001703,44450571,0
ACH-001703,44224160,0
ACH-001703,44182295,0
ACH-001703,44143370,1
ACH-001703,44137675,0
ACH-001703,42642645,0
ACH-001703,42640,0
ACH-001703,4263900,0
ACH-001703,4261,0
ACH-001703,387447,0
ACH-001703,3796,1
ACH-001703,36462,0
ACH-001703,3463933,0
ACH-001703,3385,1
ACH-001703,3218,0
ACH-001703,31703,0
ACH-001703,3005532,0
ACH-001703,300471,0
ACH-001703,2733526,0
ACH-001703,2726824,0
ACH-001703,25262965,1
ACH-001703,25257557,1
ACH-001703,25222038,0
ACH-001703,25195352,0
ACH-001703,25167777,0
ACH-001703,25126798,1
ACH-001703,25124816,0
ACH-001703,25102847,0
ACH-001703,25022668,0
ACH-001703,24978538,1
ACH-001703,24951314,1
ACH-001703,24894414,1
ACH-001703,24889392,0
ACH-001703,24826799,1
ACH-001703,24785538,0
ACH-001703,24776445,0
ACH-001703,24772860,0
ACH-001703,24756910,1
ACH-001703,24180719,0
ACH-001703,2375,0
ACH-001703,23725625,0
ACH-001703,2314623,0
ACH-001703,216326,0
ACH-001703,216239,0
ACH-001703,208908,0
ACH-001703,17755052,0
ACH-001703,176870,0
ACH-001703,176167,0
ACH-001703,176158,0
ACH-001703,16747388,1
ACH-001703,16725726,1
ACH-001703,16722836,0
ACH-001703,16095342,1
ACH-001703,16038120,0
ACH-001703,160355,0
ACH-001703,159324,0
ACH-001703,156422,0
ACH-001703,148124,0
ACH-001703,1401,0
ACH-001703,126941,0
ACH-001703,126565,0
ACH-001703,123631,0
ACH-001703,11977753,0
ACH-001703,11960529,0
ACH-001703,11754511,1
ACH-001703,11713159,0
ACH-001703,11707110,0
ACH-001703,11676786,0
ACH-001703,11667893,0
ACH-001703,11647372,1
ACH-001703,11640390,0
ACH-001703,11634725,0
ACH-001703,11626927,0
ACH-001703,11626560,0
ACH-001703,11625818,1
ACH-001703,11624601,0
ACH-001703,11617559,0
ACH-001703,11609586,0
ACH-001703,11493598,1
ACH-001703,11485656,0
ACH-001703,11455910,0
ACH-001703,11433190,1
ACH-001703,11404337,0
ACH-001703,11373846,1
ACH-001703,11338033,0
ACH-001703,11327430,0
ACH-001703,11316960,0
ACH-001703,11282283,1
ACH-001703,11178236,0
ACH-001703,11152667,0
ACH-001703,104842,0
ACH-001703,10461815,0
ACH-001703,10459196,0
ACH-001703,10451420,1
ACH-001703,10390396,0
ACH-001703,10384072,0
ACH-001703,10341154,1
ACH-001703,10302451,0
ACH-001703,10200390,0
ACH-001703,10196499,0
ACH-001703,10184653,0
ACH-001703,10127622,0
ACH-001703,10113978,0
ACH-001703,10109823,0
ACH-001703,10096043,0
ACH-001703,10077147,0
ACH-001703,10074640,1
ACH-001703,10027278,0
ACH-001702,9967941,0
ACH-001702,9956222,0
ACH-001702,9956119,1
ACH-001702,9952773,0
ACH-001702,9943465,0
ACH-001702,9938202,0
ACH-001702,9931953,0
ACH-001702,9914412,0
ACH-001702,9911830,0
ACH-001702,9910224,0
ACH-001702,9907093,0
ACH-001702,9903786,0
ACH-001702,9884685,0
ACH-001702,9874913,0
ACH-001702,9868037,0
ACH-001702,9863776,0
ACH-001702,9858940,1
ACH-001702,9826528,0
ACH-001702,9826308,0
ACH-001702,9813758,0
ACH-001702,9810884,0
ACH-001702,9549184,0
ACH-001702,85668777,0
ACH-001702,84691,1
ACH-001702,8249,0
ACH-001702,82146,0
ACH-001702,76044,0
ACH-001702,7251185,0
ACH-001702,71271629,1
ACH-001702,704473,0
ACH-001702,6918848,0
ACH-001702,6918638,0
ACH-001702,6918454,0
ACH-001702,6918289,1
ACH-001702,6914657,0
ACH-001702,6852167,0
ACH-001702,6710780,0
ACH-001702,66577006,0
ACH-001702,65110,0
ACH-001702,6505803,0
ACH-001702,6450816,0
ACH-001702,6450551,0
ACH-001702,6445562,0
ACH-001702,6445533,0
ACH-001702,644241,0
ACH-001702,644215,0
ACH-001702,637858,0
ACH-001702,6253,1
ACH-001702,60750,0
ACH-001702,5746,0
ACH-001702,57339144,0
ACH-001702,5717801,0
ACH-001702,56965967,0
ACH-001702,56962337,0
ACH-001702,560326,0
ACH-001702,5494449,1
ACH-001702,54685215,0
ACH-001702,54676905,1
ACH-001702,5460769,0
ACH-001702,5459322,0
ACH-001702,5394,0
ACH-001702,5384616,1
ACH-001702,53394750,0
ACH-001702,53340664,0
ACH-001702,5330286,1
ACH-001702,53302361,0
ACH-001702,5329102,0
ACH-001702,5328940,0
ACH-001702,5327091,0
ACH-001702,5311510,0
ACH-001702,5311497,0
ACH-001702,5311,0
ACH-001702,5291,0
ACH-001702,5289247,0
ACH-001702,5280757,0
ACH-001702,5278396,0
ACH-001702,521106,0
ACH-001702,5208,0
ACH-001702,51371303,0
ACH-001702,5113032,0
ACH-001702,4993,0
ACH-001702,49821040,0
ACH-001702,49806720,0
ACH-001702,46943432,0
ACH-001702,46931012,0
ACH-001702,46930998,1
ACH-001702,46907787,0
ACH-001702,46885626,0
ACH-001702,46883536,1
ACH-001702,46844147,0
ACH-001702,46843772,0
ACH-001702,462382,0
ACH-001702,46224516,0
ACH-001702,46191454,0
ACH-001702,44819241,0
ACH-001702,448013,0
ACH-001702,447912,0
ACH-001702,446378,0
ACH-001702,44632017,0
ACH-001702,44551660,0
ACH-001702,444795,0
ACH-001702,44462760,0
